Number,Trial,Treatment,Room,Bucket,Plant,DryRootWeightBag,DryPlantWeightBag,DryRoot,DryPlant,RootShoot
200,Summer,Bee UV,a,1,6,8.5151,9.4898,1.4481,2.4228,0.59769688
201,Summer,Bee UV,a,1,7,7.745,7.8278,0.678,0.7608,0.891167192
202,Summer,Bee UV,a,1,8,8.272,7.506,1.205,0.439,2.744874715
203,Summer,Bee UV,a,1,9,8.0705,7.7891,1.0035,0.7221,1.389696718
204,Summer,Bee UV,a,1,10,8.3729,8.6594,1.3059,1.5924,0.820082894
205,Summer,Bee UV,a,1,11,10.5809,9.2131,3.5139,2.1461,1.637342156
206,Summer,Bee UV,a,1,12,10.999,8.8818,3.932,1.8148,2.166629932
207,Summer,Bee UV,a,1,14,8.0667,7.4526,0.9997,0.3856,2.592582988
208,Summer,Bee UV,a,1,15,7.6788,7.3895,0.6118,0.3225,1.897054264
209,Summer,Bee UV,a,1,16,8.0028,8.8352,0.9358,1.7682,0.529238774
210,Summer,Bee UV,a,1,17,8.0892,8.428,1.0222,1.361,0.751065393
211,Summer,Bee UV,a,1,18,10.2961,7.5887,3.2291,0.5217,6.189572551
212,Summer,Bee UV,a,1,19,7.6257,8.8186,0.5587,1.7516,0.318965517
213,Summer,Bee UV,a,1,20,10.4433,11.2748,3.3763,4.2078,0.802390798
